Principio attivo;Confezione di riferimento;ATC;AIC;Confezione;Farmaco;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 29 ottobre 2015;Differenza;Nota;Codice gruppo equivalenza
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;34338018;"""1 G COMPRESSE SOLUBILI E MASTICABILI"" 12 COMPRESSE SOLUBILI E MASTICABILI";AMOSOL;SO.SE.PHARM S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23909031;12 COMPRESSE 1 G;AMOX;WELLINGTON STR.DEV.PHARMA LTD;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23108184;12 COMPRESSE 1 G;AMOXICILLINA;DOC GENERICI S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;29487016;"""1 G COMPRESSE"" BLISTER 12 COMPRESSE";AMOXICILLINA;EG S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;32388011;"""1 G COMPRESSE"" 12 COMPRESSE";AMOXICILLINA;UNION HEALTH S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;35223015;"""1 G COMPRESSE SOLUBILI"" 12 COMPRESSE";AMOXICILLINA ABC;ABC FARMACEUTICI S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;33676014;"""1 G COMPRESSE"" 12 COMPRESSE";AMOXICILLINA ACTAVIS;ACTAVIS GROUP PTC EHF;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;28964043;12 COMPRESSE 1 G;AMOXICILLINA ALTER;LABORATORI ALTER S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;32918029;"""1 G COMPRESSE"" BLISTER 12 COMPRESSE";AMOXICILLINA ANGENERICO;ANGENERICO S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;33675012;"""1 G COMPRESSE"" 12 COMPRESSE";AMOXICILLINA AUROBINDO;AUROBINDO PHARMA ITALIA S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;32892010;"""1 G COMPRESSE"" 12 COMPRESSE";AMOXICILLINA DR. REDDY'S;TECNIGEN S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;33290014;"""1 G COMPRESSE"" 12 COMPRESSE";AMOXICILLINA GERMED;GERMED PHARMA S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;39493034;"""1 G COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC/PVDC/AL";AMOXICILLINA HEXAL AG;HEXAL AG;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;34812038;12 COMPRESSE 1 G;AMOXICILLINA MYLAN GENERICS;MYLAN S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;34743017;"""1 G COMPRESSE SOLUBILI E MASTICABILI"" 12 COMPRESSE";AMOXICILLINA PENSA;PENSA PHARMA S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;35222013;"""1 G COMPRESSE SOLUBILI"" 12 COMPRESSE";AMOXICILLINA RANBAXY;RANBAXY ITALIA S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;34614026;"""1 G COMPRESSE"" 12 COMPRESSE";AMOXICILLINA RATIOPHARM;TEVA ITALIA S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;39492032;"""1 G COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC/PVDC/AL";AMOXICILLINA SANDOZ GMBH;SANDOZ GMBH;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;32104010;"""1G COMPRESSE"" 12 COMPRESSE";AMOXICILLINA SIGMATAU GENERICS;SIGMA-TAU GENERICS S.P.A.;  3,27;  3,60;  0,33;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23966094;12 COMPRESSE 1 G;AMOXINA;AESCULAPIUS FARMACEUTICI S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23760059;12 COMPRESSE MASTICABILI 1 G;MOPEN;F.I.R.M.A. S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23760097;"""COMPRESSE"" 12 COMPRESSE 1 G USO ORALE";MOPEN;F.I.R.M.A. S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;32791016;12 COMPRESSE SOLUBILI E MASTICABILI USO ORALE 1 G;ORALMOX;CRINOS S.P.A.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;34981011;"""1 G COMPRESSE SOLUBILI"" 12 COMPRESSE";SIEVERT;TECNOPHARMA S.R.L.;  3,27;  3,27;  0,00;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23053123;12 COMPRESSE 1 G;SINTOPEN;MAGIS FARMACEUTICI S.P.A.;  3,27;  3,60;  0,33;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23097102;"""1 G COMPRESSE"" 12 COMPRESSE";VELAMOX;MEDIOLANUM FARMACEUTICI S.P.A.;  3,27;  4,20;  0,93;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23086150;"""1 G COMPRESSE"" 12 COMPRESSE";ZIMOX;PFIZER ITALIA S.R.L.;  3,27;  4,90;  1,63;;18B
Amoxicillina;12 UNITA' 1000 MG - USO ORALE;J01CA04;23086174;"""1 G COMPRESSE SOLUBILI E MASTICABILI"" 12 COMPRESSE";ZIMOX;PFIZER ITALIA S.R.L.;  3,27;  5,60;  2,33;;18B
Amoxicillina;12 UNITA' 500 MG - USO ORALE;J01CA04;23097013;"""500 MG CAPSULE"" 12 CAPSULE";VELAMOX;MEDIOLANUM FARMACEUTICI S.P.A.;  1,90;  2,94;  1,04;;18K
Amoxicillina;12 UNITA' 500 MG - USO ORALE;J01CA04;23086061;"""500 MG CAPSULE"" 12 CAPSULE";ZIMOX;PFIZER ITALIA S.R.L.;  1,90;  2,98;  1,08;;18K
Amoxicillina;12 UNITA' 500 MG - USO ORALE;J01CA04;23086162;"""500 MG COMPRESSE SOLUBILI E MASTICABILI"" 12 COMPRESSE";ZIMOX;PFIZER ITALIA S.R.L.;  1,90;  2,98;  1,08;;18K
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36816015;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN STRIP AL/PE";ABBA;FIDIA FARMACEUTICI S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36816027;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";ABBA;FIDIA FARMACEUTICI S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37350016;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";ABIOCLAV;AESCULAPIUS FARMACEUTICI S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37856022;"""875 MG + 125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";ACADIMOX;ECUPHARMA S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37828023;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AKLAV;KONPHARMA S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36819011;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO ABC;ABC FARMACEUTICI S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36819023;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO ABC;ABC FARMACEUTICI S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37165014;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO ACTAVIS;ACTAVIS GROUP PTC EHF;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37165026;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO ACTAVIS;ACTAVIS GROUP PTC EHF;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37286010;"""875 MG + 125MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO ALMUS;ALMUS S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37286022;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO ALMUS;ALMUS S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36944015;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO ALTER;LABORATORI ALTER S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36944027;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN STRIP AL/PE";AMOXICILLINA E ACIDO CLAVULANICO ALTER;LABORATORI ALTER S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37813021;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO ANGENERICO;ANGENERICO S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39545076;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER IN BLISTER ALU/ALU";AMOXICILLINA E ACIDO CLAVULANICO AUROBINDO;AUROBINDO PHARMA ITALIA S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36848012;"""875 MG +125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO BIOPHARMA;BIOPHARMA S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36848024;"""875 MG+125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO BIOPHARMA;BIOPHARMA S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39779107;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC/AL";AMOXICILLINA E ACIDO CLAVULANICO BLUEFISH;BLUEFISH PHARMACEUTICALS AB;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36802015;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO DOC GENERICI;DOC GENERICI S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36802027;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO DOC GENERICI;DOC GENERICI S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37042013;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO GERMED;GERMED PHARMA S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37042025;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO GERMED;GERMED PHARMA S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36903019;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO HEXAL;SANDOZ S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36810012;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO HEXAL AG;HEXAL AG;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36744011;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO MYLAN GENERICS;MYLAN S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36969044;"""875 MG + 125 MG COMPRESSE"" 12 COMPRESSE IN BLISTER PE/AL";AMOXICILLINA E ACIDO CLAVULANICO MYLAN GENERICS;MYLAN S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37501018;"""875 MG + 125MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO PENSA;PENSA PHARMA S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37501020;"""875 MG + 125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO PENSA;PENSA PHARMA S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37034016;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO RANBAXY;RANBAXY ITALIA S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37034028;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO RANBAXY;RANBAXY ITALIA S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;41933033;"""875 MG+125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC/PVDC/AL";AMOXICILLINA E ACIDO CLAVULANICO RANBAXY ITALIA;RANBAXY ITALIA S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36926020;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN STRIP AL/PE";AMOXICILLINA E ACIDO CLAVULANICO RATIOPHARM;RATIOPHARM GMBH;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36707014;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO RATIOPHARM ITALIA;RATIOPHARM ITALIA S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36980047;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN STRIP AL/PE";AMOXICILLINA E ACIDO CLAVULANICO SANDOZ;SANDOZ S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36767010;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO SANDOZ GMBH;SANDOZ GMBH;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36815013;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO TECNIGEN;TECNIGEN S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36815025;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO TECNIGEN;TECNIGEN S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39743024;"""875 MG/125MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO TEVA GENERICS;PHARMACARE S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36787012;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AMOXICILLINA E ACIDO CLAVULANICO ZENTIVA;ZENTIVA ITALIA S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36787024;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AMOXICILLINA E ACIDO CLAVULANICO ZENTIVA;ZENTIVA ITALIA S.R.L.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36801013;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";ANIVAL;ERREKAPPA EUROTERAPICI S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;36801025;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";ANIVAL;ERREKAPPA EUROTERAPICI S.P.A.;  7,90;  7,90;  0,00;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;26089019;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;GLAXOSMITHKLINE S.P.A.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;26089108;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AUGMENTIN;GLAXOSMITHKLINE S.P.A.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954017;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;BB FARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954031;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;BB FARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954082;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;BB FARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954094;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;BB FARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954106;"""875 MG+125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AUGMENTIN;BB FARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;37954118;"""875 MG+125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AUGMENTIN;BB FARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;38291011;"""875 MG + 125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AUGMENTIN;PROGRAMMI SANITARI INTEGRATI S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;38291023;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM ""12 COMPRESSE";AUGMENTIN;PROGRAMMI SANITARI INTEGRATI S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;38291047;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM""12 COMPRESSE";AUGMENTIN;PROGRAMMI SANITARI INTEGRATI S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;38291050;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM""12 COMPRESSE";AUGMENTIN;PROGRAMMI SANITARI INTEGRATI S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785011;"""875 MG/125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;MEDIFARM S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785050;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;MEDIFARM S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;39785062;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;MEDIFARM S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488013;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;FARMA 1000 S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488037;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;FARMA 1000 S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488049;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;FARMA 1000 S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488052;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;FARMA 1000 S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488064;"""875 MG+125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AUGMENTIN;FARMA 1000 S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;40488076;"""875 MG + 125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;FARMA 1000 S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;41267016;"""875 MG/125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;GEKOFAR S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;41267030;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM""12 COMPRESSE";AUGMENTIN;GEKOFAR S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;41747015;"""875 MG+125 MG POLVERE PER SOSPENSIONE ORALE"" 12 BUSTINE";AUGMENTIN;MPF PHARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;41747027;"""875 MG+125 MG POLVERE PER SOSPENSIONE ORALE"" 12 COMPRESSE";AUGMENTIN;MPF PHARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
Amoxicillina + Acido clavulanico;12 UNITA' (875+125) MG - USO ORALE;J01CR02;42191015;"""875 MG+125 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";AUGMENTIN;4PHARMA S.R.L.;  7,90;  10,20;  2,30;;CJA
